"Carprofen_label","BCG_MOI","mean_conc","sd_conc","sem_conc","n"
"C0","B0",64.0114546189472,15.6974277137696,7.84871385688481,4
"C0","B1",57.5829816697358,18.5733984936901,9.28669924684506,4
"C0","B10",63.6243520646166,27.2635415263599,13.6317707631799,4
"C0","B100",98.767760895329,32.7178330058712,16.3589165029356,4
"C1","B0",59.3510452801435,23.6931000298707,11.8465500149354,4
"C1","B1",47.4764478482967,22.9223572789013,11.4611786394507,4
"C1","B10",65.926101933581,23.7544355179538,11.8772177589769,4
"C1","B100",69.4614746665768,26.3580231549123,13.1790115774562,4
"C10","B0",67.6275687708728,28.8218185638011,14.4109092819005,4
"C10","B1",55.5189898990978,27.926378374059,13.9631891870295,4
"C10","B10",59.9596657710671,33.1924608431363,16.5962304215681,4
"C10","B100",59.2026637269299,29.9319986462306,14.9659993231153,4
"C100","B0",119.483322703229,47.0124180355856,23.5062090177928,4
"C100","B1",87.9602479150828,24.8415556056827,12.4207778028413,4
"C100","B10",90.4776796848466,29.9052779036445,14.9526389518223,4
"C100","B100",89.1655328557494,33.6133928884249,16.8066964442124,4
