"Well","Content","OD405","pct_B_B0","predicted_conc","result_flag","Plate","Experiment","Drug","Infection"
"F7","Exp4 C1 B1 (1/1)",1.75,66.2484316185696,0.2837911717645,"OK","Plate1_0308","Exp4","C1","B1"
"F8","Exp4 C100 B1 (1/1)",2.615,102.425763278963,0.0607373873449818,"OK","Plate1_0308","Exp4","C100","B1"
"F9","Exp4 C1 L1 (1/1)",2.009,77.0807193642827,0.204301293115606,"OK","Plate1_0308","Exp4","C1","L1"
"G10","Exp4 C100 L10 (1/1)",2.55,99.7072354663321,0.0752155348479682,"OK","Plate1_0308","Exp4","C100","L10"
"G11","",2.384,92.7645336679214,0.112080463589096,"OK","Plate1_0308","","",""
"G12","",0.054,-4.68423253868674,NA,"> 10","Plate1_0308","","",""
"G4","Exp3 C100 B10 (1/1)",2.385,92.8063571727311,0.111855183274837,"OK","Plate1_0308","Exp3","C100","B10"
"G5","Exp3 C1 L10 (1/1)",2.235,86.5328314512756,0.146572071392222,"OK","Plate1_0308","Exp3","C1","L10"
"G6","Exp3 C100 L10 (1/1)",1.953,74.7386030949394,0.220037539257461,"OK","Plate1_0308","Exp3","C100","L10"
"G7","Exp4 C1 B10 (1/1)",2.014,77.2898368883312,0.202928495754445,"OK","Plate1_0308","Exp4","C1","B10"
"G8","Exp4 C100 B10 (1/1)",2.079,80.0083647009619,0.185521898525704,"OK","Plate1_0308","Exp4","C100","B10"
"G9","Exp4 C1 L10 (1/1)",2.217,85.780008364701,0.150893682598071,"OK","Plate1_0308","Exp4","C1","L10"
"H10","Exp4 C100 L100 (1/1)",3.043,120.326223337516,NA,"< 0.08","Plate1_0308","Exp4","C100","L100"
"H11","",3.125,123.755750731911,NA,"< 0.08","Plate1_0308","","",""
"H12","",0.056,-4.60058552906734,NA,"> 10","Plate1_0308","","",""
"H4","Exp3 C100 B100 (1/1)",2.841,111.877875365956,NA,"< 0.08","Plate1_0308","Exp3","C100","B100"
"H5","Exp3 C1 L100 (1/1)",2.737,107.528230865747,0.0320244931439015,"OK","Plate1_0308","Exp3","C1","L100"
"H6","Exp3 C100 L100 (1/1)",2.895,114.13634462568,NA,"< 0.08","Plate1_0308","Exp3","C100","L100"
"H7","Exp4 C1 B100 (1/1)",2.57,100.543705562526,0.0707837426542472,"OK","Plate1_0308","Exp4","C1","B100"
"H8","Exp4 C100 B100 (1/1)",2.912,114.847344207445,NA,"< 0.08","Plate1_0308","Exp4","C100","B100"
"H9","Exp4 C1 L100 (1/1)",2.594,101.547469677959,0.0654422889876603,"OK","Plate1_0308","Exp4","C1","L100"
"A10","Exp2 C10 L0 (1/1)",0.45,55.6535433070866,94.5754967625608,"OK","Plate2","Exp2","C10","L0"
"A11","",0.48,61.3228346456693,78.0231039298249,"OK","Plate2","","",""
"A12","",0,-29.3858267716535,NA,"> 1000","Plate2","","",""
"A4","Exp1 C10 B0 (1/1)",0.473,60,81.6453052620946,"OK","Plate2","Exp1","C10","B0"
"A5","Exp1 C0 L0 (1/1)",0.429,51.6850393700787,108.03348228475,"OK","Plate2","Exp1","C0","L0"
"A6","Exp1 C10 L0 (1/1)",0.434,52.6299212598425,104.664921132591,"OK","Plate2","Exp1","C10","L0"
"A7","Exp2 C0 B0 (1/1)",0.459,57.3543307086614,89.3141298788106,"OK","Plate2","Exp2","C0","B0"
"A8","Exp2 C10 B0 (1/1)",0.555,75.496062992126,45.7888058284476,"OK","Plate2","Exp2","C10","B0"
"A9","Exp2 C0 L0 (1/1)",0.56,76.4409448818898,43.9630378060879,"OK","Plate2","Exp2","C0","L0"
"B10","Exp2 C10 L1 (1/1)",0.43,51.8740157480315,107.350924056455,"OK","Plate2","Exp2","C10","L1"
"B11","",0.462,57.9212598425197,87.620176812369,"OK","Plate2","","",""
